title,money,knoladge,company,addition,city,link
Программист Битрикс 1С (Middle),80,WEB BACKEND HTML CSS JAVASCRIPT,Интерьер-Центр,['Удаленная работа'],Пенза,https://www.superjob.ru/vacancy/search/?keywords=js&noGeo=1/vakansii/programmist-bitriks-1s-38900170.html
Middle PHP Developer,90,ERP ERP JAVASCRIPT ANGULARJS VANILLA JS JQUERY JQUERY GIT LAMP TYPESCRIPT SCSS,Заклицкий и Партнеры,,Подольск,https://www.superjob.ru/vacancy/search/?keywords=js&noGeo=1/vakansii/middle-php-developer-45460904.html
Senior PHP разработчик,250,BACKEND FRONTEND FULLSTACK JAVASCRIPT MYSQL REDIS JQUERY BOOTSTRAP GIT PHPOFFICE PHINX,КонсалтПро,,Москва,https://www.superjob.ru/vacancy/search/?keywords=js&noGeo=1/vakansii/senior-php-razrabotchik-45377185.html
Backend PHP программист уровня middle,80,PHP CLICKHOUSE JAVASCRIPT MYSQL REDIS MEMCACHED JQUERY GIT MANTICORESEARCH DOCKER VAGRANT YII LARAVEL HTML CSS JS,ГОРОДРАБОТ.РУ,,Йошкар-Ола,https://www.superjob.ru/vacancy/search/?keywords=js&noGeo=1/vakansii/backend-php-programmist-urovnya-middle-44316196.html
Инженер сопровождения инструментов визуализации платформы Visiology,,VISIOLOGY JAVASCRIPT GIT,Россети Центр и Приволжье7,['Удаленная работа'],Нижний Новгород,https://www.superjob.ru/vacancy/search/?keywords=js&noGeo=1/vakansii/inzhener-soprovozhdeniya-instrumentov-vizualizacii-platformy-visiology-45376997.html
Веб-программист,40,PHP JAVASCRIPT AMD JQUERY MUSTACHE CMS DRUPAL WORDPRESS JOOMLA,КИРОВСКИЙ ГОСУДАРСТВЕННЫЙ МЕДИЦИНСКИЙ УНИВЕРСИТЕТ,"['Доступно для соискателей от 45+ лет', 'Доступно для соискателей с ограниченными возможностями']",Киров (Кировская область),https://www.superjob.ru/vacancy/search/?keywords=js&noGeo=1/vakansii/veb-programmist-44809173.html
Системный администратор/Web-разработчик/ SEO-специалист,70,HTML JAVASCRIPT CSS PHP MYSQL WINDOWS MS OFFICE,,['Отклик без резюме'],Санкт-Петербург,https://www.superjob.ru/vacancy/search/?keywords=js&noGeo=1/vakansii/sistemnyj-administrator-45560927.html
Программист 1C,40,,ГБПОУ Департамента Здравоохранения Города Москвы Медицинский Колледж № 7,,Москва,https://www.superjob.ru/vacancy/search/?keywords=js&noGeo=1/vakansii/programmist-1c-44933587.html
Системный администратор,50,PHP YII JAVASCRIPT BASH,ГБУЗ СО ЦГБ №7,['Будьте первым'],Екатеринбург,https://www.superjob.ru/vacancy/search/?keywords=js&noGeo=1/vakansii/sistemnyj-administrator-45557636.html
Разработчик Web и приложений,70,WEB PHP C JAVA NODEJS MYSQL POSTGRESQL MSSQL,ФГБОУ ВО ТГМУ Минздрава России,,Владивосток,https://www.superjob.ru/vacancy/search/?keywords=js&noGeo=1/vakansii/razrabotchik-web-i-prilozhenij-45154132.html
Преподаватель Битрикс на факультет информационных технологий,,PHP HTMLCSS JS PHP,Московский политехнический университет,"['Опыт не нужен', 'Будьте первым']",Москва,https://www.superjob.ru/vacancy/search/?keywords=js&noGeo=1/vakansii/prepodavatel-bitriks-na-fakultet-informacionnyh-tehnologij-45557134.html
PHP-программист,100,HTMLJAVASCRIPTCSS XMLAPACHE ZENDFRAMEWORK,Мегасофт,,Москва,https://www.superjob.ru/vacancy/search/?keywords=js&noGeo=1/vakansii/php-programmist-43594128.html
Web-fronted разработчик,,UXUI HTML CSS JAVASCRIPT JQUERY REACT NODEJS A SANDBOX DECEPTION,Friendwork,,Москва,https://www.superjob.ru/vacancy/search/?keywords=js&noGeo=1/vakansii/web-fronted-razrabotchik-45374203.html
Разработчик Smart-стандартов / Разработчик ПО,150,SMART XML HTML C NET FRAMEWORK DEVEXPRESS XAF SQL MS SQL SERVER POSTGRESQL JS,НИИ Транснефть,,Москва,https://www.superjob.ru/vacancy/search/?keywords=js&noGeo=1/vakansii/razrabotchik-smart-standartov-45548247.html
Программист С#,,JAVASCRIPT WCF API,ГБОУ ВО Московский Городской Педагогический Университет,,Москва,https://www.superjob.ru/vacancy/search/?keywords=js&noGeo=1/vakansii/programmist-s-45546266.html
Frontend разработчик,,BB BACKENDAPI JAVASCRIPTES VUEJS UI,Центрпроект,['Удаленная работа'],Москва,https://www.superjob.ru/vacancy/search/?keywords=js&noGeo=1/vakansii/frontend-razrabotchik-45547404.html
Full Stack Developer-GameDev-GTA5,,JAVASCRIPT NODEJS MYSQL REACT GIT DOCKER REST REACTJS,California Games - GameDev,['Удаленная работа'],Москва,https://www.superjob.ru/vacancy/search/?keywords=js&noGeo=1/vakansii/full-stack-developer-gamedev-gta5-32068306.html
