title,money,knoladge,company,addition,city,link
Работник кухни и пищевого производства,476.0,,АшанПроверенный работодатель7.1,"['Отклик без резюме', 'Опыт не нужен', 'Полная занятость']",Саратов,https://russia.superjob.ru/vacancy/search/?page=4/vakansii/rabotnik-kuhni-i-pischevogo-proizvodstva-51135446.html
Электромонтер по ремонту и обслуживанию электрооборудования,129.5,,ГСП-Механизация,['Вахта'],Екатеринбург,https://russia.superjob.ru/vacancy/search/?page=4/vakansii/elektromonter-po-remontu-i-obsluzhivaniyu-elektrooborudovaniya-50201864.html
Слесарь-электрик по ремонту электрооборудования 3 разряда (возможно обучение),75.0,,"СПб ГУП ""Горэлектротранс""6.9","['Старт карьеры', 'Сменный график']",Санкт-Петербург,https://russia.superjob.ru/vacancy/search/?page=4/vakansii/slesar-elektrik-po-remontu-elektrooborudovaniya-3-razryada-47112754.html
Менеджер банка,55.0,,«Почта Банк»6.8,"['Опыт не нужен', 'Полная занятость']",Курск,https://russia.superjob.ru/vacancy/search/?page=4/vakansii/menedzher-banka-50822446.html
Курьер пеший,320.5,,СамокатПроверенный работодатель,"['Опыт не нужен', 'Частичная занятость', 'Совместительство']",Санкт-Петербург,https://russia.superjob.ru/vacancy/search/?page=4/vakansii/kurer-peshij-50941998.html
Кладовщик,77.66666666666667,WORD EXCEL,Почта РоссииПроверенный работодатель6.2,['Отклик без резюме'],Архангельск,https://russia.superjob.ru/vacancy/search/?page=4/vakansii/kladovschik-51077702.html
Главный специалист по охране труда,54.0,,УДМУРТЭНЕРГОНЕФТЬ,['Полная занятость'],Ижевск,https://russia.superjob.ru/vacancy/search/?page=4/vakansii/glavnyj-specialist-po-ohrane-truda-50430879.html
Менеджер по работе с недвижимостью,150.0,,ИНКОМ - НедвижимостьПроверенный работодатель7.7,"['Опыт не нужен', 'Частичная занятость']","Москва, Калужско-Рижская линия, метро Новые Черёмушки",https://russia.superjob.ru/vacancy/search/?page=4/vakansii/menedzher-po-rabote-s-nedvizhimostyu-38491164.html
Директор / заведующий аптекой Здравсити (ул. Грибалевой),По договорённости,,Ригла7.6,,Санкт-Петербург,https://russia.superjob.ru/vacancy/search/?page=4/vakansii/direktor-51087552.html
Машинист экскаватора,180.0,,Управление Механизации ИнжЭнерго СПб,['Вахта'],Иркутск,https://russia.superjob.ru/vacancy/search/?page=4/vakansii/mashinist-ekskavatora-50865612.html
Пиццмейкер (Куркино),177.5,,"КуулКлевер (МясновЪ, Отдохни)6.3","['Опыт не нужен', 'Полная занятость']",Планерная,https://russia.superjob.ru/vacancy/search/?page=4/vakansii/piccmejker-50960388.html
Дизайнер-консультант,139.0,CRM,Лемана ПРОПроверенный работодатель7.8,"['Отклик без резюме', 'Опыт не нужен', 'Полная занятость']",Зеленоград,https://russia.superjob.ru/vacancy/search/?page=4/vakansii/dizajner-konsultant-51167160.html
Слесарь по ремонту автомобией,75.0,,МОСТРАНСАВТО,['Опыт не нужен'],Ногинск,https://russia.superjob.ru/vacancy/search/?page=4/vakansii/slesar-po-remontu-avtomobiej-51073985.html
Электромонтажник по силовым сетям и электрооборудованию,150.0,,"""ССК ""Газрегион""Проверенный работодатель7.9",['Вахта'],Южно-Сахалинск,https://russia.superjob.ru/vacancy/search/?page=4/vakansii/elektromontazhnik-po-silovym-setyam-i-elektrooborudovaniyu-50089672.html
Водитель-курьер на личном автомобиле,120.0,B,YAMI YAMI,"['Отклик без резюме', 'Опыт не нужен', 'Частичная занятость']",Санкт-Петербург,https://russia.superjob.ru/vacancy/search/?page=4/vakansii/voditel-kurer-na-lichnom-avtomobile-50859895.html
Консультант SAP HR,165.0,PAOMPTPY,Т Плюс7.1,['Полная занятость'],Самара,https://russia.superjob.ru/vacancy/search/?page=4/vakansii/konsultant-sap-hr-50880832.html
Расстановщик,70.0,,Улыбка радуги6.9,"['Опыт не нужен', 'Сменный график']",Казань,https://russia.superjob.ru/vacancy/search/?page=4/vakansii/rasstanovschik-50960392.html
Руководитель направления страхования жизни,По договорённости,BC BB,"Страховая Компания ""Согласие""6.8",['Полная занятость'],Иркутск,https://russia.superjob.ru/vacancy/search/?page=4/vakansii/rukovoditel-napravleniya-strahovaniya-zhizni-51111098.html
Техник-электрик (м. Дмитровская),518.5,,SMINEX7.4,['Полная занятость'],"Москва, Вятская улица, 49с15",https://russia.superjob.ru/vacancy/search/?page=4/vakansii/tehnik-elektrik-51167022.html
Военнослужащий по контракту (стрелок),325.0,,Cлужба по контракту,['Опыт не нужен'],Москва,https://russia.superjob.ru/vacancy/search/?page=4/vakansii/voennosluzhaschij-po-kontraktu-51139505.html
Электрослесарь по обслуживанию и ремонту оборудования,277.6666666666667,,Группа НЛМК,['Полная занятость'],"Гостищево (Белгородская, Яковлевский р)",https://russia.superjob.ru/vacancy/search/?page=4/vakansii/elektroslesar-po-obsluzhivaniyu-i-remontu-oborudovaniya-50880938.html
Сотрудник склада (Грузчик),295.0,,Компания SIMPLE,['Опыт не нужен'],Москва,https://russia.superjob.ru/vacancy/search/?page=4/vakansii/sotrudnik-sklada-51039412.html
Лаборант,60.0,,Семь Печей,['Сменный график'],Новотроицк,https://russia.superjob.ru/vacancy/search/?page=4/vakansii/laborant-49552485.html
Техник отдела верификации и валидации,55.0,PYTON,Московский завод ФИЗПРИБОР,"['Опыт не нужен', 'Полная занятость']",Подольск,https://russia.superjob.ru/vacancy/search/?page=4/vakansii/tehnik-otdela-verifikacii-i-validacii-48615908.html
Уборщица в музее,50.0,,"УК Дворец Культуры Работников Просвещения ""Юсуповский Дворец""","['Опыт не нужен', 'Полная занятость']",Санкт-Петербург,https://russia.superjob.ru/vacancy/search/?page=4/vakansii/uborschica-v-muzee-42043880.html
Специалист по обслуживанию и монтажу кондиционеров,110.0,B,Евро-холод-сервис XXI,['Полная занятость'],Зеленоград,https://russia.superjob.ru/vacancy/search/?page=4/vakansii/specialist-po-obsluzhivaniyu-i-montazhu-kondicionerov-27088053.html
